name,time/op (ns/op),±
Gol/512x512x100-1-16,2.87003E+09,3%
Gol/512x512x100-2-16,1.90277E+09,13%
Gol/512x512x100-3-16,1.35308E+09,12%
Gol/512x512x100-4-16,1.10051E+09,8%
Gol/512x512x100-5-16,1.13578E+09,21%
Gol/512x512x100-6-16,1.27354E+09,34%
Gol/512x512x100-7-16,1.10792E+09,9%
Gol/512x512x100-8-16,1.05998E+09,11%
Gol/512x512x100-9-16,1.10517E+09,10%
Gol/512x512x100-10-16,1.03920E+09,4%
Gol/512x512x100-11-16,9.47693E+08,13%
Gol/512x512x100-12-16,9.51659E+08,10%
Gol/512x512x100-13-16,1.02215E+09,17%
Gol/512x512x100-14-16,1.00803E+09,14%
Gol/512x512x100-15-16,1.01677E+09,11%
Gol/512x512x100-16-16,1.02662E+09,13%
